../../lib/math/src/math_pkg.vhd ../../lib/util/src/util_pkg.vhd src/lfsr.vhd tb/lfsr_tb.vhd ../../lib/top/src/top.vhd top_arch.vhd
compiling ../../lib/math/src/math_pkg.vhd
compiling ../../lib/util/src/util_pkg.vhd
compiling src/lfsr.vhd
compiling tb/lfsr_tb.vhd
compiling ../../lib/top/src/top.vhd
compiling top_arch.vhd
ghdl elab-run --std=08 -frelaxed --ieee=synopsys -P=vendor_libs lfsr_tb
tb/lfsr_tb.vhd:74:5:@0ms:(report note): start sim
tb/lfsr_tb.vhd:69:7:@15061ns:(report note): seed: 86, period: 105
tb/lfsr_tb.vhd:69:7:@15297ns:(report note): seed: 87, period: 105
tb/lfsr_tb.vhd:69:7:@15533ns:(report note): seed: 88, period: 105
tb/lfsr_tb.vhd:69:7:@15589ns:(report note): seed: 89, period: 15
tb/lfsr_tb.vhd:69:7:@15825ns:(report note): seed: 90, period: 105
tb/lfsr_tb.vhd:69:7:@16061ns:(report note): seed: 91, period: 105
tb/lfsr_tb.vhd:69:7:@16101ns:(report note): seed: 92, period: 7
tb/lfsr_tb.vhd:69:7:@16337ns:(report note): seed: 93, period: 105
tb/lfsr_tb.vhd:69:7:@16573ns:(report note): seed: 94, period: 105
tb/lfsr_tb.vhd:69:7:@16809ns:(report note): seed: 95, period: 105
tb/lfsr_tb.vhd:69:7:@17045ns:(report note): seed: 96, period: 105
tb/lfsr_tb.vhd:69:7:@17281ns:(report note): seed: 97, period: 105
tb/lfsr_tb.vhd:69:7:@17517ns:(report note): seed: 98, period: 105
tb/lfsr_tb.vhd:69:7:@17753ns:(report note): seed: 99, period: 105
tb/lfsr_tb.vhd:69:7:@17809ns:(report note): seed: 100, period: 15
tb/lfsr_tb.vhd:69:7:@18045ns:(report note): seed: 101, period: 105
tb/lfsr_tb.vhd:69:7:@18281ns:(report note): seed: 102, period: 105
tb/lfsr_tb.vhd:69:7:@18517ns:(report note): seed: 103, period: 105
tb/lfsr_tb.vhd:69:7:@18557ns:(report note): seed: 104, period: 7
tb/lfsr_tb.vhd:69:7:@18793ns:(report note): seed: 105, period: 105
tb/lfsr_tb.vhd:69:7:@19029ns:(report note): seed: 106, period: 105
tb/lfsr_tb.vhd:69:7:@19265ns:(report note): seed: 107, period: 105
tb/lfsr_tb.vhd:69:7:@19501ns:(report note): seed: 108, period: 105
tb/lfsr_tb.vhd:69:7:@19737ns:(report note): seed: 109, period: 105
tb/lfsr_tb.vhd:69:7:@19793ns:(report note): seed: 110, period: 15
tb/lfsr_tb.vhd:69:7:@20029ns:(report note): seed: 111, period: 105
tb/lfsr_tb.vhd:69:7:@20085ns:(report note): seed: 112, period: 15
tb/lfsr_tb.vhd:69:7:@20321ns:(report note): seed: 113, period: 105
tb/lfsr_tb.vhd:69:7:@20361ns:(report note): seed: 114, period: 7
tb/lfsr_tb.vhd:69:7:@20597ns:(report note): seed: 115, period: 105
tb/lfsr_tb.vhd:69:7:@20833ns:(report note): seed: 116, period: 105
tb/lfsr_tb.vhd:69:7:@21069ns:(report note): seed: 117, period: 105
tb/lfsr_tb.vhd:69:7:@21305ns:(report note): seed: 118, period: 105
tb/lfsr_tb.vhd:69:7:@21541ns:(report note): seed: 119, period: 105
tb/lfsr_tb.vhd:69:7:@21777ns:(report note): seed: 120, period: 105
tb/lfsr_tb.vhd:69:7:@22013ns:(report note): seed: 121, period: 105
tb/lfsr_tb.vhd:69:7:@22069ns:(report note): seed: 122, period: 15
tb/lfsr_tb.vhd:69:7:@22305ns:(report note): seed: 123, period: 105
tb/lfsr_tb.vhd:69:7:@22541ns:(report note): seed: 124, period: 105
tb/lfsr_tb.vhd:69:7:@22777ns:(report note): seed: 125, period: 105
